,City Name,Longitude,Latitude,Temperature (f),Humidity,Cloudiness,Wind Speed (mph)
476,Valenza,8.64,45.01,54.0,88,94,1.79
477,Jiangyou,104.72,31.77,58.46,81,100,2.06
478,Rudnogorsk,103.75,57.26,24.17,95,100,11.23
479,Azoyú,-98.73,16.72,85.33,66,20,8.16
480,Lafia,8.52,8.48,76.33,88,77,2.59
481,Te Anau,167.72,-45.42,51.3,55,18,4.9
482,Portland,-122.68,45.52,64.99,63,75,6.93
483,Wāshīm,77.15,20.1,73.26,87,34,2.86
484,Yumen,97.2,40.28,41.49,58,0,15.77
485,Hamilton,-84.53,39.18,59.0,93,90,3.6
486,Vaitape,-151.75,-16.52,79.93,79,1,18.52
487,Honningsvåg,25.97,70.98,40.82,75,100,12.28
488,Bathsheba,-59.52,13.22,84.2,74,20,8.05
489,Agras,-8.54,40.55,64.0,93,100,1.01
490,Sturgis,-85.42,41.8,46.4,75,90,5.82
491,Lipin Bor,37.98,60.26,36.46,83,97,7.34
492,Leningradskiy,178.42,69.38,26.89,91,96,6.89
493,Keti Bandar,67.45,24.14,83.93,74,2,10.85
494,Florianópolis,-48.5,-27.61,75.2,73,75,14.99
495,Ribeira Grande,-28.7,38.52,64.17,70,59,32.86
496,Agüimes,-15.45,27.91,75.2,83,38,2.71
497,Chumikan,135.31,54.72,28.62,85,0,23.71
498,Caohai,104.28,26.87,44.96,97,100,2.68
499,Cocal,-49.35,-28.62,70.92,81,0,4.88
500,kimparana,-4.92,12.83,81.7,53,49,7.49
501,Las Matas de Farfán,-71.52,18.87,77.38,73,98,0.31
502,Dunda,34.25,-8.12,69.91,58,54,4.68
503,Farīdpur,89.83,23.6,82.4,78,20,6.06
504,Cascais,-9.42,38.7,64.0,100,100,3.69
505,Naze,129.48,28.37,75.2,83,40,19.46
506,Deep River,-77.5,46.1,45.0,70,96,1.99
507,Los Llanos de Aridane,-17.92,28.66,78.8,69,89,4.7
508,Araouane,-3.53,18.9,89.15,13,0,7.83
509,Bubaque,-15.83,11.28,82.56,88,3,8.66
510,Huntsville,-86.59,34.73,78.8,61,40,8.05
511,Umluj,37.27,25.02,82.6,40,0,4.5
512,Pochutla,-96.47,15.74,89.01,66,20,8.05
513,Saint-Augustin,-58.65,51.23,45.63,87,12,11.63
514,Socol,21.37,44.86,33.8,77,0,3.36
515,High Level,-117.14,58.52,28.69,78,0,1.95
516,Balkhash,74.98,46.84,42.33,53,9,14.41
517,Godfrey,-90.19,38.96,50.0,100,90,5.82
518,Ji’an,114.98,27.12,58.37,90,86,5.39
519,San Jerónimo,-75.28,-11.95,62.49,39,9,9.15
520,Grindavik,-22.43,63.84,33.8,86,56,9.17
521,Kotma,81.97,23.2,69.22,66,97,2.42
522,Foz do Iguaçu,-54.59,-25.55,93.2,38,20,3.36
523,Ossora,163.07,59.24,38.07,83,100,1.83
524,Ulladulla,150.47,-35.35,61.0,77,75,8.05
525,Rome,-75.46,43.21,55.4,87,90,4.7
526,Khandyga,135.6,62.67,11.59,96,95,2.91
527,Saýat,63.88,38.78,48.2,41,0,2.24
528,Hastings,0.57,50.86,55.0,65,100,4.0
529,Novosheshminsk,51.23,55.07,41.65,68,100,7.96
530,Yarmouth,-70.23,41.71,57.2,71,20,5.82
531,Ixtapa,-105.2,20.7,87.8,74,40,10.29
532,Ahtopol,27.95,42.1,53.01,66,100,9.17
533,Chul'man,124.91,56.85,18.25,96,100,3.22
534,Beloha,45.05,-25.17,64.38,92,0,5.19
535,Kamenka,42.77,51.32,39.99,85,72,7.18
536,Montrose,-108.27,38.42,71.6,17,1,8.05
537,Waipawa,175.52,-41.41,61.0,77,23,18.34
538,Khorol,33.28,49.78,40.78,70,3,5.08
539,Brejo Santo,-38.99,-7.49,79.25,22,36,0.51
540,Forest,-79.29,37.36,66.2,68,1,6.93
541,Whitehorse,-135.05,60.72,27.0,62,100,0.74
542,Kiruna,20.23,67.86,10.4,92,0,4.7
543,Province of Mantua,10.78,45.17,52.0,94,93,2.39
544,Hammerfest,23.68,70.66,33.8,100,75,6.93
545,Peniche,-9.38,39.36,64.99,91,100,5.99
546,Barhi,80.8,23.9,73.45,66,82,0.94
547,Merrill,-89.68,45.18,33.8,59,90,4.61
548,Kavaratti,72.64,10.57,80.69,75,95,11.3
549,Jiuquan,98.52,39.74,50.4,41,0,21.23
550,Myaundzha,147.19,63.05,1.99,88,4,4.38
551,Tornio,24.15,65.85,28.4,92,20,12.75
552,Vidim,103.11,56.41,25.38,91,100,10.54
553,Waverly,-84.62,42.74,48.2,69,75,5.82
554,Seaford,0.1,50.77,55.0,73,100,7.0
555,Husavik,-17.34,66.04,33.8,86,75,1.99
556,Mokhsogollokh,128.92,61.47,10.11,95,100,2.08
557,Yacuiba,-63.68,-22.04,92.43,22,0,4.27
558,Marsaxlokk,14.54,35.84,66.2,77,75,8.05
559,Matamoros,-103.25,25.53,93.2,14,5,10.29
560,Viedma,-63.0,-40.81,62.01,24,0,4.0
561,Praia da Vitória,-27.07,38.73,60.8,82,40,32.1
562,Tullow,-6.74,52.8,54.0,95,100,8.01
563,Riyadh,46.72,24.69,68.0,23,0,3.36
564,Sørland,12.69,67.67,39.31,66,56,2.8
565,Ayr,-4.63,55.46,53.6,87,75,10.29
566,Angoram,144.07,-4.06,79.0,85,100,1.59
567,Altamont,-121.74,42.21,71.01,24,1,6.08
568,Yerbogachën,108.01,61.28,24.64,93,99,11.56
569,Hinton,-117.59,53.4,39.49,73,100,3.29
570,Zhalantun,122.72,48.0,37.58,78,74,2.33
571,Mahajanga,46.32,-15.72,77.0,78,20,1.12
572,Iraan,-101.9,30.91,76.35,65,84,13.27
573,Isāgarh,77.88,24.83,75.22,41,93,3.42
574,Seoul,126.98,37.57,48.2,100,1,2.06
575,Ibrā’,58.53,22.69,72.75,17,54,5.79
576,Don Luan,106.92,11.53,73.33,98,100,2.28
577,Santa Isabel Rio Negro,-65.02,-0.41,78.96,83,93,2.59
578,Turan,108.22,16.07,75.2,94,75,10.29
579,Dekar,21.93,-21.53,75.6,20,0,8.08
580,Batticaloa,81.69,7.71,77.81,80,31,4.21
581,Sechura,-80.82,-5.56,73.49,58,78,18.03
